Campaign name,Ad Set Name,Ad ID,Delivery status,Primary text,Headline,Link Description,Link URL,Impressions,Link clicks,Results,Amount spent (USD),Reporting starts,Reporting ends
prospecting - owners,segment b,meta-9300,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.","less admin, more clients",built for small teams,https://example.com/product,52299,606,17,4266.47,2026-08-28,2026-09-09
prospecting - owners,segment b,meta-9301,active,the spreadsheet worked when there were three of you. it is now the reason two people spend their mornings on admin.,see it in 20 minutes,for teams of 2-10,https://example.com/product,71172,226,2,1340.95,2026-08-20,2026-09-09
lookalike - customers,segment a,meta-9302,active,the spreadsheet worked when there were three of you. it is now the reason two people spend their mornings on admin.,"less admin, more clients",built for small teams,https://example.com/product,66493,772,24,3327.23,2026-08-20,2026-09-09
retargeting - site visitors,segment a,meta-9303,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.","calls answered, always",for teams of 2-10,https://example.com/product,73220,2470,270,18771.05,2026-06-13,2026-09-09
lookalike - customers,segment a,meta-9304,active,"every call that goes to voicemail is a client deciding whether to try someone else. this answers, books, and confirms, day or night.","calls answered, always",built for small teams,https://example.com/product,80435,587,3,4022.09,2026-09-03,2026-09-09
prospecting - owners,segment c,meta-9305,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.","your schedule, sorted",for teams of 2-10,https://example.com/product,39082,404,10,2453.48,2026-08-05,2026-09-09
lookalike - customers,segment c,meta-9306,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.",every call answered,book a walkthrough,https://example.com/product,21127,78,0,285.34,2026-07-16,2026-09-09
lookalike - customers,broad,meta-9307,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.",every call answered,set up in a day,https://example.com/product,66404,332,3,1519.61,2026-08-28,2026-09-09
prospecting - owners,broad,meta-9308,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.","less admin, more clients",for teams of 2-10,https://example.com/product,20857,707,61,3702.14,2026-05-12,2026-09-09
retargeting - site visitors,segment a,meta-9309,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.",every call answered,book a walkthrough,https://example.com/product,63640,1795,203,12811.64,2026-08-05,2026-09-09
prospecting - owners,segment b,meta-9310,active,the spreadsheet worked when there were three of you. it is now the reason two people spend their mornings on admin.,"your schedule, sorted",for teams of 2-10,https://example.com/product,25985,730,53,5357.69,2026-08-28,2026-09-09
prospecting - owners,segment a,meta-9311,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.","your schedule, sorted",set up in a day,https://example.com/product,73434,392,1,3083.39,2026-09-03,2026-09-09
prospecting - owners,segment b,meta-9312,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.","less admin, more clients",for teams of 2-10,https://example.com/product,75886,1175,55,7375.01,2026-08-05,2026-09-09
prospecting - owners,broad,meta-9313,active,the spreadsheet worked when there were three of you. it is now the reason two people spend their mornings on admin.,every call answered,built for small teams,https://example.com/product,75770,2735,299,18515.83,2026-08-20,2026-09-09
lookalike - customers,segment b,meta-9314,active,the spreadsheet worked when there were three of you. it is now the reason two people spend their mornings on admin.,"calls answered, always",set up in a day,https://example.com/product,15479,146,7,1027.48,2026-09-03,2026-09-09
prospecting - owners,segment c,meta-9315,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.","your schedule, sorted",book a walkthrough,https://example.com/product,31568,522,26,3337.22,2026-09-03,2026-09-09
retargeting - site visitors,segment a,meta-9316,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.",see it in 20 minutes,set up in a day,https://example.com/product,16521,202,9,608.34,2026-05-12,2026-09-09
retargeting - site visitors,segment a,meta-9317,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.","your schedule, sorted",built for small teams,https://example.com/product,64371,350,2,1999.23,2026-05-12,2026-09-09
retargeting - site visitors,segment c,meta-9318,active,"you did not start this business to answer phones. the system picks up every call, books the appointment, and sends the confirmation while you stay with the client in front of you.","your schedule, sorted",built for small teams,https://example.com/product,62187,187,1,1103.18,2026-06-13,2026-09-09
retargeting - site visitors,segment c,meta-9319,active,"your scheduling tool, your notes, your texts, and your phone do not talk to each other. that is the actual problem, and it is the one this fixes.","less admin, more clients",for teams of 2-10,https://example.com/product,24795,130,1,540.33,2026-07-16,2026-09-09
lookalike - customers,segment b,meta-9320,active,"every call that goes to voicemail is a client deciding whether to try someone else. this answers, books, and confirms, day or night.","one tool, not five",for teams of 2-10,https://example.com/product,53946,1813,198,13627.47,2026-08-20,2026-09-09
