Ad performance report
Aug 10, 2026 - Sep 9, 2026
Campaign,Ad group,Ad ID,Ad state,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Description 1,Description 2,Path 1,Path 2,Final URL,Impressions,Clicks,CTR,Conversions,Cost,Start date
search - brand,brand exact,rsa-2100,enabled,"book more, chase less","quiet, reliable booking",never miss a booking,set up in a day,your schedule fills itself,scheduling that just works,"your bookings confirm and follow up automatically, without anyone chasing them.",see how a fully booked week actually runs. book a walkthrough.,product,teams,https://example.com/product,"19,629",629,3.21%,38,"$5,556.71",2026-09-05
search - competitor,competitor a alt,rsa-2101,enabled,answer every call,the phone stops winning,see it in 20 minutes,calm operations,"less admin, more clients",cancel the spreadsheet,stop paying for five tools that each do a third of the job.,built for teams of 2-10 who are doing this by hand today.,product,teams,https://example.com/product,"21,645",598,2.76%,30,"$2,562.21",2026-06-06
search - competitor,competitor b alt,rsa-2102,enabled,one place for everything,stop juggling logins,"book more, chase less","one tool, not five tabs",never miss a booking,"quiet, reliable booking",stop paying for five tools that each do a third of the job.,"your bookings confirm and follow up automatically, without anyone chasing them.",product,demo,https://example.com/product,"6,213",39,0.63%,0,$229.95,2026-05-02
search - problem,missed calls,rsa-2103,enabled,"less admin, more clients",set up in a day,"front desk, handled","one login, whole business",see it in 20 minutes,one place for everything,stop paying for five tools that each do a third of the job.,"one platform for scheduling, notes, calls, and client messages.",product,demo,https://example.com/product,"23,630","1,062",4.50%,53,"$11,962.52",2026-05-02
search - problem,scheduling software,rsa-2104,enabled,one place for everything,"no-shows, handled",every call answered,your evenings back,"your calendar, sorted",built for small teams,"one platform for scheduling, notes, calls, and client messages.","your bookings confirm and follow up automatically, without anyone chasing them.",product,demo,https://example.com/product,"4,119",118,2.87%,4,$639.80,2026-06-06
search - category,practice management,rsa-2105,enabled,stop juggling logins,"front desk, handled",voicemail is not a system,scheduling that just works,calm operations,"one login, whole business",stop paying for five tools that each do a third of the job.,"set up in an afternoon, with your existing calendar and phone number.",product,scheduling,https://example.com/product,"12,317","1,061",8.61%,145,"$9,013.90",2026-05-02
search - brand,brand exact,rsa-2106,enabled,built for small teams,"less admin, more clients",your evenings back,made for teams of 2-10,"your calendar, sorted",never miss a booking,your clients get answered. you get your afternoons back.,replace the stack of tools that never quite talk to each other.,product,demo,https://example.com/product,"2,988",16,0.54%,0,$140.29,2026-03-13
search - competitor,competitor a alt,rsa-2107,enabled,see it in 20 minutes,stop juggling logins,"front desk, handled","one tool, not five tabs",never miss a booking,calm operations,"your bookings confirm and follow up automatically, without anyone chasing them.","set up in an afternoon, with your existing calendar and phone number.",product,scheduling,https://example.com/product,"15,651",183,1.17%,3,$790.29,2026-06-06
search - competitor,competitor b alt,rsa-2108,enabled,built for small teams,made for teams of 2-10,scheduling that just works,every call answered,"book more, chase less","your calendar, sorted",stop paying for five tools that each do a third of the job.,replace the stack of tools that never quite talk to each other.,product,demo,https://example.com/product,"6,488",248,3.83%,8,"$2,354.22",2026-08-18
search - problem,missed calls,rsa-2109,enabled,set up in a day,"less admin, more clients","book more, chase less","your calendar, sorted",calm operations,scheduling that just works,"set up in an afternoon, with your existing calendar and phone number.","your bookings confirm and follow up automatically, without anyone chasing them.",product,scheduling,https://example.com/product,"7,026",264,3.76%,15,"$3,187.53",2026-07-11
